Sample,Toploader,"n
(cm-2)","μ_xx
(cm^2/Vs)","μ_yy
(cm^2/Vs)",Average μ (cm^2/Vs),mean free path (nm),notes
JS792,,5.61E+12,8.29E+02,1.36E+04,7.21E+03,282,
JS791,,1.18E+12,3.52E+03,4.40E+01,1.78E+03,32,
JS790,,3.21E+11,7.46E+02,4.33E+04,2.20E+04,206,
JS790,,5.88E+11,1.92E+04,4.22E+02,9.81E+03,124,
JS787,,9.44E+11,3.12E+04,1.07E+04,2.10E+04,336,
JS786,,9.91E+11,1.02E+04,3.63E+04,2.33E+04,382,
JS785,,1.05E+12,3.41E+04,9.70E+03,2.19E+04,370,
JS784,,1.04E+12,1.25E+04,2.11E+04,1.68E+04,283,
JS782,,1.43E+12,8.90E+03,3.55E+04,2.22E+04,438,
JS781,,1.81E+12,1.09E+04,1.52E+04,1.31E+04,290,
JS780,,2.10E+12,1.69E+04,1.35E+04,1.52E+04,363,
JS779,,2.05E+12,2.07E+04,1.25E+04,1.66E+04,392,
JS778,,1.99E+12,9.62E+03,1.68E+04,1.32E+04,307,
JS777,,1.64E+12,8.09E+03,1.45E+04,1.13E+04,239,
JS776,,2.71E+12,5.41E+03,1.16E+04,8.51E+03,231,
JS775,,4.09E+12,5.41E+03,7.80E+03,6.61E+03,220,
JS774,,7.19E+11,5.37E+02,1.73E+03,1.13E+03,16,
JS773,,-1.21E+13,-8.43E+00,-7.64ee0,-8.43E+00,#NUM!,
JS771,,7.99E+11,3.23E+02,1.52E+02,2.38E+02,4,
JS770,,1.91E+12,1.84E+03,5.29E+02,1.18E+03,27,
JS769,,1.21E+11,1.06E+03,3.14E+01,5.46E+02,3,
JS754,,1.81E+12,3.43E+03,4.58E+03,4.01E+03,89,
JS753,,1.54E+12,4.21E+03,4.75E+03,4.48E+03,92,
JS752,,1.24E+12,5.45E+03,6.07E+02,3.03E+03,56,
JS751,,,,,#DIV/0!,#DIV/0!,
JS750,,,,,#DIV/0!,#DIV/0!,
JS749,,,,,#DIV/0!,#DIV/0!,
JS748,,,,,#DIV/0!,#DIV/0!,
JS747,,,,,#DIV/0!,#DIV/0!,
JS746,,,,,#DIV/0!,#DIV/0!,
JS745,,,,,#DIV/0!,#DIV/0!,
JS744,,,,,#DIV/0!,#DIV/0!,
JS743,,,,,#DIV/0!,#DIV/0!,
JS742,,,,,#DIV/0!,#DIV/0!,
JS741,,,,,#DIV/0!,#DIV/0!,
JS740,,,,,#DIV/0!,#DIV/0!,
JS739,,,,,#DIV/0!,#DIV/0!,
JS738,,,,,#DIV/0!,#DIV/0!,
JS737,,,,,#DIV/0!,#DIV/0!,
JS736,,,,,#DIV/0!,#DIV/0!,
JS735,,,,,#DIV/0!,#DIV/0!,
JS734,,,,,#DIV/0!,#DIV/0!,
JS733,,,,,#DIV/0!,#DIV/0!,
JS732,,3.19E+11,-5.32E+03,2.78E+02,-2.52E+03,-23,
JS731,N/A,,,,,,
JS730,N/A,,,,,,
JS729,,5.42E+11,1.48E+03,7.30E+03,4.39E+03,53,
JS728,n/a,,,,,,
JS727,,3.27E+13,8.88E+02,6.94E+02,7.91E+02,75,
JS726,,-5.92E+12,5.92E+02,-9.37E+01,2.49E+02,#NUM!,
JS725,,9.64E+12,-5.14E+02,-2.46E+03,-1.49E+03,-76,
JS724,n/a,,,,,,
JS723,n/a,,,,,,
JS722,,5.02E+12,4.52E+03,1.21E+03,2.87E+03,106,
JS721,,5.46E+12,1.79E+03,3.48E+06,1.74E+06,67120,
JS720,n/a,,,,,,
JS719,,5.38E+11,7.00E+02,2.36E+03,1.53E+03,19,
JS718,,2.77E+12,3.32E+03,2.82+03,3.32E+03,91,
JS717,,5.99E+11,2.31E+03,1.51E+03,1.91E+03,24,
JS716,,9.71E+11,3.52E+04,5.69E+03,2.04E+04,332,
JS715,,6.17E+11,4.04E+02,1.93E+03,1.93E+03,25,
JS714,,4.04E+12,8.37E+03,1.12E+03,4.75E+03,157,
JS713,,8.67E+11,3.79E+04,5.79E+03,2.18E+04,336,
JS712,,9.14E+11,5.48E+04,4.32E+03,2.96E+04,466,
JS711,,1.00E+12,8.97E+03,1.85E+04,1.37E+04,227,
JS710,,5.17E+11,6.64E+03,1.83E+04,1.25E+04,148,
JS709,,9.95E+11,1.30E+04,9.22E+03,1.11E+04,183,
